path,label,split,batch,phash,added_at
data/bunnies_batch_260714/back01.png,back,val,bunnies_batch_260714,0f0783c130b01f7f,2026-07-15
data/bunnies_batch_260714/back02.png,back,test,bunnies_batch_260714,3f38b4e0e191b2f8,2026-07-15
data/bunnies_batch_260714/back03.png,back,train,bunnies_batch_260714,03071f87cfe7f300,2026-07-15
data/bunnies_batch_260714/back04.png,back,test,bunnies_batch_260714,001e1f1f0e020000,2026-07-15
data/bunnies_batch_260714/back05.png,back,train,bunnies_batch_260714,0000183e3e3c3c00,2026-07-15
data/bunnies_batch_260714/back06.png,back,train,bunnies_batch_260714,0000183e3e3e1e08,2026-07-15
data/bunnies_batch_260714/back07.png,back,test,bunnies_batch_260714,cdc4d2dbc3c3817b,2026-07-15
data/bunnies_batch_260714/back08.png,back,train,bunnies_batch_260714,033f878f8bcfcfcf,2026-07-15
data/bunnies_batch_260714/back09.png,back,train,bunnies_batch_260714,c0febe34bcf15302,2026-07-15
data/bunnies_batch_260714/back10.png,back,train,bunnies_batch_260714,f0808163c3cfbf7f,2026-07-15
data/bunnies_batch_260714/back11.png,back,train,bunnies_batch_260714,ffff9d7f79200000,2026-07-15
data/bunnies_batch_260714/back12.png,back,train,bunnies_batch_260714,071f1f073c3d1811,2026-07-15
data/bunnies_batch_260714/back13.png,back,train,bunnies_batch_260714,ffff000000021f1f,2026-07-15
data/bunnies_batch_260714/back14.png,back,train,bunnies_batch_260714,1800e67f3e6c791e,2026-07-15
data/bunnies_batch_260714/back15.png,back,val,bunnies_batch_260714,3e00187efb1f1f0f,2026-07-15
data/bunnies_batch_260714/back16.png,back,train,bunnies_batch_260714,00f87c7e1f0f0500,2026-07-15
data/bunnies_batch_260714/back17.png,back,train,bunnies_batch_260714,fffff7e1e5fcc607,2026-07-15
data/bunnies_batch_260714/back18.png,back,train,bunnies_batch_260714,0000030e3cffffff,2026-07-15
data/bunnies_batch_260714/back19.png,back,train,bunnies_batch_260714,303c3c7cf8f8f8f8,2026-07-15
data/bunnies_batch_260714/back20.png,back,val,bunnies_batch_260714,1019fcf2b0ffe070,2026-07-15
data/bunnies_batch_260714/back21.png,back,train,bunnies_batch_260714,10387e7e7f000000,2026-07-15
data/bunnies_batch_260714/cleaning01.png,cleaning,train,bunnies_batch_260714,ff0f0f0707079fff,2026-07-15
data/bunnies_batch_260714/cleaning02.png,cleaning,train,bunnies_batch_260714,600002cede9ea1b7,2026-07-15
data/bunnies_batch_260714/cleaning03.png,cleaning,train,bunnies_batch_260714,fc8081a9a5c1ffff,2026-07-15
data/bunnies_batch_260714/cleaning04.png,cleaning,val,bunnies_batch_260714,b083efdcde5c3830,2026-07-15
data/bunnies_batch_260714/cleaning05.png,cleaning,train,bunnies_batch_260714,b703018181c7f1fb,2026-07-15
data/bunnies_batch_260714/cleaning06.png,cleaning,train,bunnies_batch_260714,0000383bc393f3ff,2026-07-15
data/bunnies_batch_260714/cleaning07.png,cleaning,train,bunnies_batch_260714,c3e1e3e6c7cee781,2026-07-15
data/bunnies_batch_260714/cleaning08.png,cleaning,train,bunnies_batch_260714,001c7f7acece64a8,2026-07-15
data/bunnies_batch_260714/cleaning09.png,cleaning,train,bunnies_batch_260714,c7c7c7c3e3e7c7ef,2026-07-15
data/bunnies_batch_260714/cleaning10.png,cleaning,test,bunnies_batch_260714,c1ff424afab09c91,2026-07-15
data/bunnies_batch_260714/cleaning11.png,cleaning,train,bunnies_batch_260714,1c1c1c1c18181c10,2026-07-15
data/bunnies_batch_260714/cleaning12.png,cleaning,test,bunnies_batch_260714,c3c3e3c3c7e7e7ff,2026-07-15
data/bunnies_batch_260714/cleaning13.png,cleaning,train,bunnies_batch_260714,1efe6333167e3800,2026-07-15
data/bunnies_batch_260714/cleaning14.png,cleaning,val,bunnies_batch_260714,c7e3c3c3e7e7c3db,2026-07-15
data/bunnies_batch_260714/cleaning15.png,cleaning,train,bunnies_batch_260714,7e7e3c3c3c1c0800,2026-07-15
data/bunnies_batch_260714/lying01.png,lying,train,bunnies_batch_260714,937a7e276e7e3e1c,2026-07-15
data/bunnies_batch_260714/lying02.png,lying,train,bunnies_batch_260714,ffff1d5f3e1c0000,2026-07-15
data/bunnies_batch_260714/lying03.png,lying,test,bunnies_batch_260714,006c3e3c07270301,2026-07-15
data/bunnies_batch_260714/lying04.png,lying,test,bunnies_batch_260714,134460063eb881c0,2026-07-15
data/bunnies_batch_260714/lying05.png,lying,train,bunnies_batch_260714,00210b0f2f3f0f0f,2026-07-15
data/bunnies_batch_260714/lying06.png,lying,train,bunnies_batch_260714,c0c0e0e0f0f9ffff,2026-07-15
data/bunnies_batch_260714/lying07.png,lying,train,bunnies_batch_260714,fbff8181d9fbffff,2026-07-15
data/bunnies_batch_260714/lying08.png,lying,train,bunnies_batch_260714,ffff3f0f07020000,2026-07-15
data/bunnies_batch_260714/lying09.png,lying,train,bunnies_batch_260714,7f7fef8600831b61,2026-07-15
data/bunnies_batch_260714/lying10.png,lying,train,bunnies_batch_260714,0723fbe1e1e9f8f8,2026-07-15
data/bunnies_batch_260714/lying100.png,lying,train,bunnies_batch_260714,0000004e7efbffff,2026-07-15
data/bunnies_batch_260714/lying101.png,lying,test,bunnies_batch_260714,34ff8f1f1f0fc000,2026-07-15
data/bunnies_batch_260714/lying102.png,lying,train,bunnies_batch_260714,00000038ffffffff,2026-07-15
data/bunnies_batch_260714/lying103.png,lying,train,bunnies_batch_260714,c07c0ef37f7c3838,2026-07-15
data/bunnies_batch_260714/lying104.png,lying,train,bunnies_batch_260714,01010101c9fbfbff,2026-07-15
data/bunnies_batch_260714/lying105.png,lying,val,bunnies_batch_260714,ffe1e1e013df7e00,2026-07-15
data/bunnies_batch_260714/lying106.png,lying,train,bunnies_batch_260714,3818181c1f7de90f,2026-07-15
data/bunnies_batch_260714/lying107.png,lying,train,bunnies_batch_260714,c383838383d7ffff,2026-07-15
data/bunnies_batch_260714/lying108.png,lying,train,bunnies_batch_260714,070f1f1c1b4b7c7c,2026-07-15
data/bunnies_batch_260714/lying109.png,lying,train,bunnies_batch_260714,fe7f3f3f0f070f0f,2026-07-15
data/bunnies_batch_260714/lying11.png,lying,train,bunnies_batch_260714,ff070f0101e7ffff,2026-07-15
data/bunnies_batch_260714/lying110.png,lying,train,bunnies_batch_260714,e78309181818c3df,2026-07-15
data/bunnies_batch_260714/lying111.png,lying,val,bunnies_batch_260714,ff0f0f09df3f1f07,2026-07-15
data/bunnies_batch_260714/lying112.png,lying,train,bunnies_batch_260714,e101010084ecffff,2026-07-15
